severity,code,description
ERROR,cabf.invalid_subject_organization_identifier_encoding,An invalid encoding has been used for the organizationIdentifier attribute value.
ERROR,cabf.invalid_subject_organization_identifier_format,The format of the subject organizationIdentifier attribute does not follow the specification.
ERROR,cabf.invalid_subject_organization_identifier_registration_scheme,Unrecognized Registration Scheme specified in the subject organizationIdentifier attribute.
ERROR,cabf.invalid_subject_organization_identifier_state_province_for_scheme,A state/province has been specified in the subject organizationIdentifier where the Registration Scheme does not permit one.
ERROR,cabf.invalid_subject_organization_identifier_state_province_format,The specified state/province value does not follow the ISO 3166-2 format.
ERROR,cabf.rsa_exponent_prohibited_value,"""For RSA key pairs: the CA SHALL confirm that the value of the public exponent is an odd number equal to 3 or more."""
ERROR,cabf.rsa_modulus_invalid_length,"""For RSA key pairs the CA SHALL: Ensure that the modulus size, when encoded, is at least 2048 bits; and Ensure that the modulus size, in bits, is evenly divisible by 8"""
ERROR,cabf.serverauth.aia_duplicate_location,"Validates that all URI locations in the AIA extension are unique, as per BR 7.1.2.10.3, 7.1.2.7.7, and 7.1.2.8.3."
ERROR,cabf.serverauth.aia_location_not_uri,"Validates that all locations in the AIA extension are HTTP as per BR 7.1.2.10.3, 7.1.2.7.7, and 7.1.2.8.3"
ERROR,cabf.serverauth.aia_location_uri_not_http,"Validates that all locations in the AIA extension are HTTP as per BR 7.1.2.10.3, 7.1.2.7.7, and 7.1.2.8.3"
ERROR,cabf.serverauth.attribute_value_invalid_encoding_type,Validates that DirectoryString attributes are encoded as per 7.1.4.2.
ERROR,cabf.serverauth.ca.anyeku_eku_present,Validates that the content of the extended key usage extension complies with BR 7.1.2.10.6.: A prohibited element is present
ERROR,cabf.serverauth.ca.authority_key_identifier_extension_absent,"Validates that the included extensions conform with BR 7.1.2.4.1, 7.1.2.5.1, or 7.1.2.6.1 (depending on certificate type): A required element is absent"
ERROR,cabf.serverauth.ca.basic_constraints_extension_absent,"Validates that the included extensions conform with BR 7.1.2.4.1, 7.1.2.5.1, or 7.1.2.6.1 (depending on certificate type): A required element is absent"
ERROR,cabf.serverauth.ca.certificate_policies_extension_absent,"Validates that the included extensions conform with BR 7.1.2.4.1, 7.1.2.5.1, or 7.1.2.6.1 (depending on certificate type): A required element is absent"
ERROR,cabf.serverauth.ca.codesigning_eku_present,Validates that the content of the extended key usage extension complies with BR 7.1.2.10.6.: A prohibited element is present
ERROR,cabf.serverauth.ca.common_name_attribute_absent,Validates that the subject contains attributes in accordance with BR 7.1.2.10.2.: A required element is absent
ERROR,cabf.serverauth.ca.country_attribute_absent,Validates that the subject contains attributes in accordance with BR 7.1.2.10.2.: A required element is absent
ERROR,cabf.serverauth.ca.critical_authority_info_access_extension,Validates that the criticality of all extensions conforms with BR 7.1.2.5.1.
ERROR,cabf.serverauth.ca.critical_authority_key_identifier_extension,Validates that the criticality of all extensions conforms with BR 7.1.2.5.1.
ERROR,cabf.serverauth.ca.critical_certificate_policies_extension,Validates that the criticality of all extensions conforms with BR 7.1.2.5.1.
ERROR,cabf.serverauth.ca.critical_crl_distribution_points_extension,Validates that the criticality of all extensions conforms with BR 7.1.2.5.1.
ERROR,cabf.serverauth.ca.critical_extended_key_usage_extension,Validates that the criticality of all extensions conforms with BR 7.1.2.5.1.
ERROR,cabf.serverauth.ca.critical_sct_list_extension,Validates that the criticality of all extensions conforms with BR 7.1.2.5.1.
ERROR,cabf.serverauth.ca.critical_subject_key_identifier_extension,Validates that the criticality of all extensions conforms with BR 7.1.2.5.1.
ERROR,cabf.serverauth.ca.crl_distribution_points_extension_absent,"Validates that the included extensions conform with BR 7.1.2.4.1, 7.1.2.5.1, or 7.1.2.6.1 (depending on certificate type): A required element is absent"
ERROR,cabf.serverauth.ca.emailprotection_eku_present,Validates that the content of the extended key usage extension complies with BR 7.1.2.10.6.: A prohibited element is present
ERROR,cabf.serverauth.ca.extended_key_usage_extension_absent,"Validates that the included extensions conform with BR 7.1.2.4.1, 7.1.2.5.1, or 7.1.2.6.1 (depending on certificate type): A required element is absent"
ERROR,cabf.serverauth.ca.incomplete_name_constraints,Validates that the CA is technically constrained in accordance with BR 7.1.2.5.2.
ERROR,cabf.serverauth.ca.key_usage_extension_absent,"Validates that the included extensions conform with BR 7.1.2.4.1, 7.1.2.5.1, or 7.1.2.6.1 (depending on certificate type): A required element is absent"
ERROR,cabf.serverauth.ca.name_constraints_extension_absent,"Validates that the included extensions conform with BR 7.1.2.4.1, 7.1.2.5.1, or 7.1.2.6.1 (depending on certificate type): A required element is absent"
ERROR,cabf.serverauth.ca.non_critical_basic_constraints_extension,Validates that the criticality of all extensions conforms with BR 7.1.2.5.1.
ERROR,cabf.serverauth.ca.non_critical_key_usage_extension,Validates that the criticality of all extensions conforms with BR 7.1.2.5.1.
ERROR,cabf.serverauth.ca.ocspsigning_eku_present,Validates that the content of the extended key usage extension complies with BR 7.1.2.10.6.: A prohibited element is present
ERROR,cabf.serverauth.ca.organization_name_attribute_absent,Validates that the subject contains attributes in accordance with BR 7.1.2.10.2.: A required element is absent
ERROR,cabf.serverauth.ca.organizational_unit_name_attribute_present,Validates that the subject contains attributes in accordance with BR 7.1.2.10.2.: A prohibited element is present
ERROR,cabf.serverauth.ca.precertsigning_eku_present,Validates that the content of the extended key usage extension complies with BR 7.1.2.10.6.: A prohibited element is present
ERROR,cabf.serverauth.ca.serverauth_eku_absent,Validates that the content of the extended key usage extension complies with BR 7.1.2.10.6.: A required element is absent
ERROR,cabf.serverauth.ca.subject_key_identifier_extension_absent,"Validates that the included extensions conform with BR 7.1.2.4.1, 7.1.2.5.1, or 7.1.2.6.1 (depending on certificate type): A required element is absent"
ERROR,cabf.serverauth.ca.unknown_aia_access_method_present,Validates that the content of the authority information access extension conforms to BR 7.1.2.10.3.: A prohibited element is present
ERROR,cabf.serverauth.ca_anypolicy_with_other_policy_oid,Validates that the content of the certificate policies extension complies with BR 7.1.2.10.5.
ERROR,cabf.serverauth.ca_basic_constraints_ca_bit_not_set,
ERROR,cabf.serverauth.ca_external_anypolicy,Validates that the content of the certificate policies extension complies with BR 7.1.2.10.5.
ERROR,cabf.serverauth.ca_missing_reserved_policy_oid,Validates that the content of the certificate policies extension complies with BR 7.1.2.10.5.
ERROR,cabf.serverauth.ca_multiple_reserved_policy_oids,Validates that the content of the certificate policies extension complies with BR 7.1.2.10.5.
ERROR,cabf.serverauth.ca_multiple_reserved_policy_oids,Validates that the certificate policy OID(s) conform to BR 7.1.2.7.9.
ERROR,cabf.serverauth.ca_non_tls_has_reserved_policy_oid,A non-TLS CA certificate contains a CA/Browser Forum serverauth reserved policy OID.
ERROR,cabf.serverauth.ca_precert_signing.precertsigning_eku_absent,Validates that the content of the extended key usage extension complies with BR 7.1.2.4.2.: A required element is absent
ERROR,cabf.serverauth.ca_precert_signing.unknown_eku_present,Validates that the content of the extended key usage extension complies with BR 7.1.2.4.2.: A prohibited element is present
ERROR,cabf.serverauth.crldp_dp_prohibited_field_present,Validates that the fields included in the CRL distribution points extension conforms with BR 7.1.2.11.2.
ERROR,cabf.serverauth.crldp_dpname_prohibited_field_present,Validates that the names included in the CRL distribution points extension conforms with BR 7.1.2.11.2.
ERROR,cabf.serverauth.crldp_dpname_prohibited_generalname_type,Validates that the names included in the CRL distribution points extension conforms with BR 7.1.2.11.2.
ERROR,cabf.serverauth.crldp_dpname_prohibited_uri_scheme,Validates that the names included in the CRL distribution points extension conforms with BR 7.1.2.11.2.
ERROR,cabf.serverauth.cross_ca.authority_key_identifier_extension_absent,Validates that the extensions conform with BR 7.1.2.2.3.: A required element is absent
ERROR,cabf.serverauth.cross_ca.basic_constraints_extension_absent,Validates that the extensions conform with BR 7.1.2.2.3.: A required element is absent
ERROR,cabf.serverauth.cross_ca.certificate_policies_extension_absent,Validates that the extensions conform with BR 7.1.2.2.3.: A required element is absent
ERROR,cabf.serverauth.cross_ca.codesigning_eku_present,Validates that the content of the extended key usage conforms to BR 7.1.2.2.4 and 7.1.2.2.5.: A prohibited element is present
ERROR,cabf.serverauth.cross_ca.crl_distribution_points_extension_absent,Validates that the extensions conform with BR 7.1.2.2.3.: A required element is absent
ERROR,cabf.serverauth.cross_ca.emailprotection_eku_present,Validates that the content of the extended key usage conforms to BR 7.1.2.2.4 and 7.1.2.2.5.: A prohibited element is present
ERROR,cabf.serverauth.cross_ca.extended_key_usage_extension_absent,Validates that the extensions conform with BR 7.1.2.2.3.: A required element is absent
ERROR,cabf.serverauth.cross_ca.external_anyeku_present,Validates that the content of the extended key usage conforms to BR 7.1.2.2.4 and 7.1.2.2.5.: A prohibited element is present
ERROR,cabf.serverauth.cross_ca.internal_with_anyeku_and_other_eku,Validates that the content of the extended key usage conforms to BR 7.1.2.2.4 and 7.1.2.2.5.: A required element is absent
ERROR,cabf.serverauth.cross_ca.key_usage_extension_absent,Validates that the extensions conform with BR 7.1.2.2.3.: A required element is absent
ERROR,cabf.serverauth.cross_ca.name_constraints_extension_present,Validates that the extensions conform with BR 7.1.2.2.3.: A prohibited element is present
ERROR,cabf.serverauth.cross_ca.ocspsigning_eku_present,Validates that the content of the extended key usage conforms to BR 7.1.2.2.4 and 7.1.2.2.5.: A prohibited element is present
ERROR,cabf.serverauth.cross_ca.serverauth_eku_absent,Validates that the content of the extended key usage conforms to BR 7.1.2.2.4 and 7.1.2.2.5.: A required element is absent
ERROR,cabf.serverauth.cross_ca.subject_key_identifier_extension_absent,Validates that the extensions conform with BR 7.1.2.2.3.: A required element is absent
ERROR,cabf.serverauth.cross_ca.timestamping_eku_present,Validates that the content of the extended key usage conforms to BR 7.1.2.2.4 and 7.1.2.2.5.: A prohibited element is present
ERROR,cabf.serverauth.dnsname_contains_prohibited_reserved_label,Validates that each dNSName conforms to the syntax in BR 7.1.2.7.12.
ERROR,cabf.serverauth.domain_component_attribute_value_length_too_long,Validates that the length of domainComponent values does not exceed the limit stated in BR 7.1.4.2.
ERROR,cabf.serverauth.dv.unknown_attribute_present,Validates that the content of the subject field conforms with BR 7.1.7.2.: A prohibited element is present
ERROR,cabf.serverauth.invalid_dnsname_syntax,Validates that each dNSName conforms to the syntax in BR 7.1.2.7.12.
ERROR,cabf.serverauth.invalid_jurisdiction_country_code,Validates that the jurisdictionCountryName value conforms to EVG 9.2.4.
ERROR,cabf.serverauth.invalid_plabel_encoding,Validates that each dNSName conforms to the syntax in BR 7.1.2.7.12.
ERROR,cabf.serverauth.invalid_rdn_order,Validates that the encoded order of subject attributes conforms to the list in BR 7.1.4.2.
ERROR,cabf.serverauth.invalid_tor_checksum,Validates that each Onion Domain Name conforms to the Tor v3 specification.
ERROR,cabf.serverauth.invalid_tor_v3_domain_name,Validates that each Onion Domain Name conforms to the Tor v3 specification.
ERROR,cabf.serverauth.invalid_tor_version,Validates that each Onion Domain Name conforms to the Tor v3 specification.
ERROR,cabf.serverauth.iv.country_attribute_absent,Validates that the content of the subject field conforms with BR 7.1.7.3.: A required element is absent
ERROR,cabf.serverauth.iv.given_name_attribute_absent,Validates that the content of the subject field conforms with BR 7.1.7.3.: A required element is absent
ERROR,cabf.serverauth.iv.organizational_unit_name_attribute_present,Validates that the content of the subject field conforms with BR 7.1.7.3.: A prohibited element is present
ERROR,cabf.serverauth.iv.surname_attribute_absent,Validates that the content of the subject field conforms with BR 7.1.7.3.: A required element is absent
ERROR,cabf.serverauth.name_attribute_value_too_long,Validates that the length of X520Name values does not exceed the limit stated in BR 7.1.4.2.
ERROR,cabf.serverauth.non_tls_ca.anyeku_eku_present,: A prohibited element is present
ERROR,cabf.serverauth.non_tls_ca.ocspsigning_eku_present,: A prohibited element is present
ERROR,cabf.serverauth.non_tls_ca.precertsigning_eku_present,: A prohibited element is present
ERROR,cabf.serverauth.non_tls_ca.serverauth_eku_present,: A prohibited element is present
ERROR,cabf.serverauth.ocsp_responder.authority_key_identifier_extension_absent,Validates that the included extensions conform with BR 7.1.2.8.2.: A required element is absent
ERROR,cabf.serverauth.ocsp_responder.basic_constraints_ca_bit_set,Validates that the basic constraints extension value conforms to BR 7.1.2.8.4.
ERROR,cabf.serverauth.ocsp_responder.certificate_policies_extension_present,Validates that the included extensions conform with BR 7.1.2.8.2.: A prohibited element is present
ERROR,cabf.serverauth.ocsp_responder.crl_distribution_points_extension_present,Validates that the included extensions conform with BR 7.1.2.8.2.: A prohibited element is present
ERROR,cabf.serverauth.ocsp_responder.digitalsignature_bit_missing,Validates that the content of the key usage extension conforms with BR 7.1.2.8.7.
ERROR,cabf.serverauth.ocsp_responder.extended_key_usage_extension_absent,Validates that the included extensions conform with BR 7.1.2.8.2.: A required element is absent
ERROR,cabf.serverauth.ocsp_responder.key_usage_extension_absent,Validates that the included extensions conform with BR 7.1.2.8.2.: A required element is absent
ERROR,cabf.serverauth.ocsp_responder.name_constraints_extension_present,Validates that the included extensions conform with BR 7.1.2.8.2.: A prohibited element is present
ERROR,cabf.serverauth.ocsp_responder.ocsp_nocheck_extension_absent,Validates that the included extensions conform with BR 7.1.2.8.2.: A required element is absent
ERROR,cabf.serverauth.ocsp_responder.ocspsigning_eku_absent,Validates that the extended key usage value conforms to BR 7.1.2.8.5.: A required element is absent
ERROR,cabf.serverauth.ocsp_responder.prohibited_ku_present,Validates that the content of the key usage extension conforms with BR 7.1.2.8.7.
ERROR,cabf.serverauth.ocsp_responder.subject_altname_extension_present,Validates that the included extensions conform with BR 7.1.2.8.2.: A prohibited element is present
ERROR,cabf.serverauth.ocsp_responder.unknown_aia_access_method_present,Validates that the content of the AIA extension conforms with BR 7.1.2.8.3.: A prohibited element is present
ERROR,cabf.serverauth.ocsp_responder.unknown_eku_present,Validates that the extended key usage value conforms to BR 7.1.2.8.5.: A prohibited element is present
ERROR,cabf.serverauth.organization_identifier_ext_invalid_country,Validates that the content of the CA/B Forum organizationIdentifier extension conforms with EVG 9.8.2.
ERROR,cabf.serverauth.organization_identifier_ext_invalid_registration_scheme,Validates that the content of the CA/B Forum organizationIdentifier extension conforms with EVG 9.8.2.
ERROR,cabf.serverauth.organization_identifier_ext_invalid_state_province_for_scheme,Validates that the content of the CA/B Forum organizationIdentifier extension conforms with EVG 9.8.2.
ERROR,cabf.serverauth.organization_identifier_extension_absent,"Validates that the content of the organizationIdentifier subject attributes and the organizationIdentifier extension are consistent, as per EVG 9.2.8 and 9.2.9."
ERROR,cabf.serverauth.organization_identifier_mismatched_country_code,"Validates that the content of the organizationIdentifier subject attributes and the organizationIdentifier extension are consistent, as per EVG 9.2.8 and 9.2.9."
ERROR,cabf.serverauth.organization_identifier_mismatched_registration_reference,"Validates that the content of the organizationIdentifier subject attributes and the organizationIdentifier extension are consistent, as per EVG 9.2.8 and 9.2.9."
ERROR,cabf.serverauth.organization_identifier_mismatched_scheme,"Validates that the content of the organizationIdentifier subject attributes and the organizationIdentifier extension are consistent, as per EVG 9.2.8 and 9.2.9."
ERROR,cabf.serverauth.organization_identifier_mismatched_state_province,"Validates that the content of the organizationIdentifier subject attributes and the organizationIdentifier extension are consistent, as per EVG 9.2.8 and 9.2.9."
ERROR,cabf.serverauth.ov.country_attribute_absent,Validates that the content of the subject field conforms with BR 7.1.7.4.: A required element is absent
ERROR,cabf.serverauth.ov.given_name_attribute_present,Validates that the content of the subject field conforms with BR 7.1.7.4.: A prohibited element is present
ERROR,cabf.serverauth.ov.organization_name_attribute_absent,Validates that the content of the subject field conforms with BR 7.1.7.4.: A required element is absent
ERROR,cabf.serverauth.ov.organizational_unit_name_attribute_present,Validates that the content of the subject field conforms with BR 7.1.7.4.: A prohibited element is present
ERROR,cabf.serverauth.ov.surname_attribute_present,Validates that the content of the subject field conforms with BR 7.1.7.4.: A prohibited element is present
ERROR,cabf.serverauth.prohibited_certificate_policy_qualifier_type,"Validates that the inclusion of policy qualifiers is in conformance with BR 7.1.2.3.2, 7.1.2.10.5, and 7.1.2.7.9."
ERROR,cabf.serverauth.prohibited_duplicate_attribute_type,Validates that only specified attributes may appear multiple times as per BR 7.1.2.3 and 7.1.2.7.4.
ERROR,cabf.serverauth.prohibited_san_type,Validates that the types of GeneralNames included in the SAN extension conform to BR 7.1.2.7.12.
ERROR,cabf.serverauth.prohibited_signature_algorithm_encoding,Validates that the signature algorithm conforms with BR 7.1.3.2.
ERROR,cabf.serverauth.prohibited_subject_public_key_algorithm_encoding,Validates that subject public key algorithm conforms with BR 7.1.3.1.
ERROR,cabf.serverauth.rdn_contains_multiple_atvs,"Validates that each RelativeDistguishedName contains exactly one AttributeTypeAndValue, as per BR 7.1.4.2."
ERROR,cabf.serverauth.root.basic_constraints_extension_absent,Validates that the included extensions conform to BR 7.1.2.1.2.: A required element is absent
ERROR,cabf.serverauth.root.extended_key_usage_extension_present,Validates that the included extensions conform to BR 7.1.2.1.2.: A prohibited element is present
ERROR,cabf.serverauth.root.key_usage_extension_absent,Validates that the included extensions conform to BR 7.1.2.1.2.: A required element is absent
ERROR,cabf.serverauth.root.subject_key_identifier_extension_absent,Validates that the included extensions conform to BR 7.1.2.1.2.: A required element is absent
ERROR,cabf.serverauth.root_aki_ski_not_equal,"Validates that the key identifier as encoded in the subject key identifier and authority key identifier extensions is identical, as per BR 7.1.2.1.3."
ERROR,cabf.serverauth.root_basic_constraints_ca_not_present,Validates that the content of the basic constraints extension conforms to BR 7.1.2.1.4.
ERROR,cabf.serverauth.root_subject_issuer_name_encoding_not_equal,"Validates that the encoding of the subject and issuer DN are identical, as per BR 7.1.2.1."
ERROR,cabf.serverauth.root_validity_period_too_long,Validates that the validity period conforms with BR 7.1.2.1.1.
ERROR,cabf.serverauth.root_validity_period_too_short,Validates that the validity period conforms with BR 7.1.2.1.1.
ERROR,cabf.serverauth.subscriber.anyeku_eku_present,Validates that the content of the extended key usage extension conforms with BR 7.1.2.7.10.: A prohibited element is present
ERROR,cabf.serverauth.subscriber.authority_info_access_extension_absent,Validates that the included extensions conform with BR 7.1.2.7.6.: A required element is absent
ERROR,cabf.serverauth.subscriber.authority_key_identifier_extension_absent,Validates that the included extensions conform with BR 7.1.2.7.6.: A required element is absent
ERROR,cabf.serverauth.subscriber.certificate_policies_extension_absent,Validates that the included extensions conform with BR 7.1.2.7.6.: A required element is absent
ERROR,cabf.serverauth.subscriber.codesigning_eku_present,Validates that the content of the extended key usage extension conforms with BR 7.1.2.7.10.: A prohibited element is present
ERROR,cabf.serverauth.subscriber.critical_authority_info_access_extension,Validates that the criticality of extensions conforms to BR 7.1.2.7.6.
ERROR,cabf.serverauth.subscriber.critical_authority_key_identifier_extension,Validates that the criticality of extensions conforms to BR 7.1.2.7.6.
ERROR,cabf.serverauth.subscriber.critical_certificate_policies_extension,Validates that the criticality of extensions conforms to BR 7.1.2.7.6.
ERROR,cabf.serverauth.subscriber.critical_crl_distribution_points_extension,Validates that the criticality of extensions conforms to BR 7.1.2.7.6.
ERROR,cabf.serverauth.subscriber.critical_extended_key_usage_extension,Validates that the criticality of extensions conforms to BR 7.1.2.7.6.
ERROR,cabf.serverauth.subscriber.critical_sct_list_extension,Validates that the criticality of extensions conforms to BR 7.1.2.7.6.
ERROR,cabf.serverauth.subscriber.critical_subject_key_identifier_extension,Validates that the criticality of extensions conforms to BR 7.1.2.7.6.
ERROR,cabf.serverauth.subscriber.emailprotection_eku_present,Validates that the content of the extended key usage extension conforms with BR 7.1.2.7.10.: A prohibited element is present
ERROR,cabf.serverauth.subscriber.extended_key_usage_extension_absent,Validates that the included extensions conform with BR 7.1.2.7.6.: A required element is absent
ERROR,cabf.serverauth.subscriber.name_constraints_extension_present,Validates that the included extensions conform with BR 7.1.2.7.6.: A prohibited element is present
ERROR,cabf.serverauth.subscriber.non_critical_basic_constraints_extension,Validates that the criticality of extensions conforms to BR 7.1.2.7.6.
ERROR,cabf.serverauth.subscriber.non_critical_key_usage_extension,Validates that the criticality of extensions conforms to BR 7.1.2.7.6.
ERROR,cabf.serverauth.subscriber.ocsp_aia_access_method_absent,Validates that AIA access methods conform to BR 7.1.2.10.3.: A required element is absent
ERROR,cabf.serverauth.subscriber.ocspsigning_eku_present,Validates that the content of the extended key usage extension conforms with BR 7.1.2.7.10.: A prohibited element is present
ERROR,cabf.serverauth.subscriber.precert_poison_extension_absent,Validates that the included extensions conform with BR 7.1.2.7.6.: A required element is absent
ERROR,cabf.serverauth.subscriber.precert_poison_extension_present,Validates that the included extensions conform with BR 7.1.2.7.6.: A prohibited element is present
ERROR,cabf.serverauth.subscriber.precertsigning_eku_present,Validates that the content of the extended key usage extension conforms with BR 7.1.2.7.10.: A prohibited element is present
ERROR,cabf.serverauth.subscriber.sct_list_extension_present,Validates that the included extensions conform with BR 7.1.2.7.6.: A prohibited element is present
ERROR,cabf.serverauth.subscriber.serverauth_eku_absent,Validates that the content of the extended key usage extension conforms with BR 7.1.2.7.10.: A required element is absent
ERROR,cabf.serverauth.subscriber.subject_altname_extension_absent,Validates that the included extensions conform with BR 7.1.2.7.6.: A required element is absent
ERROR,cabf.serverauth.subscriber.timestamping_eku_present,Validates that the content of the extended key usage extension conforms with BR 7.1.2.7.10.: A prohibited element is present
ERROR,cabf.serverauth.subscriber.unknown_aia_access_method_present,Validates that AIA access methods conform to BR 7.1.2.10.3.: A prohibited element is present
ERROR,cabf.serverauth.subscriber_anypolicy_oid_present,Validates that the certificate policy OID(s) conform to BR 7.1.2.7.9.
ERROR,cabf.serverauth.subscriber_basic_constraints_ca_bit_set,
ERROR,cabf.serverauth.subscriber_common_name_unknown_source,Validates that the content of the commonName attribute conforms to BR 7.1.4.3.
ERROR,cabf.serverauth.subscriber_missing_reserved_policy_oid,Validates that the certificate policy OID(s) conform to BR 7.1.2.7.9.
ERROR,cabf.serverauth.subscriber_prohibited_ku_present,Validates that the content of the key usage extension conforms with BR 7.1.2.7.11.
ERROR,cabf.serverauth.subscriber_required_ku_missing,Validates that the content of the key usage extension conforms with BR 7.1.2.7.11.
ERROR,cabf.serverauth.subscriber_stateprovince_and_locality_missing,"Validates that the stateOrProvinceName and/or localityName subject attributes are present, as per EVG 9.2.6, BR 7.1.2.7.3, and BR 7.1.2.7.4."
ERROR,itu.bitstring_not_der_encoded,"X.690 2002-07, clause 11.2.2: ""Where ITU-T Rec. X.680 &#124; ISO/IEC 8824-1, 21.7, applies, the bitstring shall have all trailing 0 bits removed before it is encoded"""
ERROR,itu.invalid_printablestring_character,"X.680 2002-07, clause 37.4: ""Table 8 lists the characters which can appear in the PrintableString type and PrintableString character abstract syntax"""
ERROR,pkix.aki_with_cert_issuer_but_serial_number_absent,"RFC 5280 4.2.1.1: ""The identification MAY be based on either the key identifier (the subject key identifier in the issuer's certificate) or the issuer name and serial number"""
ERROR,pkix.aki_with_serial_number_but_cert_issuer_absent,"RFC 5280 4.2.1.1: ""The identification MAY be based on either the key identifier (the subject key identifier in the issuer's certificate) or the issuer name and serial number"""
ERROR,pkix.authority_information_access_extension_critical,"RFC 5280 4.2.2.1: ""Conforming CAs MUST mark this extension as non-critical."""
ERROR,pkix.authority_key_identifier_critical,"RFC 5280 4.2.1.1: ""Conforming CAs MUST mark this extension as non-critical."""
ERROR,pkix.authority_key_identifier_extension_absent,"RFC 5280 4.2.1.1: ""The keyIdentifier field of the authorityKeyIdentifier extension MUST be included in all certificates generated by conforming CAs to facilitate certification path construction"""
ERROR,pkix.authority_key_identifier_keyid_missing,"RFC 5280 4.2.1.1: ""The keyIdentifier field of the authorityKeyIdentifier extension MUST be included in all certificates generated by conforming CAs to facilitate certification path construction"""
ERROR,pkix.basic_constraints_extension_not_critical,"RFC 5280 4.2.1.9: ""Conforming CAs MUST include this extension in all CA certificates that contain public keys used to validate digital signatures on certificates and MUST mark the extension as critical in such certificates"""
ERROR,pkix.basic_constraints_has_pathlen_for_non_ca,"RFC 5280 4.2.1.9: ""CAs MUST NOT include the pathLenConstraint field unless the cA boolean is asserted and the key usage extension asserts the keyCertSign bit."""
ERROR,pkix.both_encipheronly_and_decipheronly_ku_set,"RFC 5280 4.2.1.3: ""When the encipherOnly bit is asserted and the keyAgreement bit is also set, the subject public key may be used only for enciphering data while performing key agreement."" ""When the decipherOnly bit is asserted and the keyAgreement bit is also set, the subject public key may be used only for deciphering data while performing key agreement."". Impossible to simultaneously permit both sets of operations."
ERROR,pkix.ca_certificate_keycertsign_keyusage_not_set,"RFC 5280 4.2.1.3: ""Conforming CAs MUST include this extension in certificates that contain public keys that are used to validate digital signatures on other public key certificates or CRLs"""
ERROR,pkix.ca_certificate_no_ku_extension,"RFC 5280 4.2.1.3: ""Conforming CAs MUST include this extension in certificates that contain public keys that are used to validate digital signatures on other public key certificates or CRLs"""
ERROR,pkix.certificate_name_constraints_extension_not_critical,"RFC 5280 4.2.1.10: ""Conforming CAs MUST mark this extension as critical"""
ERROR,pkix.certificate_negative_validity_period,"RFC 5280 4.1.2.5: ""The certificate validity period is the time interval during which the CA warrants that it will maintain information about the status of the certificate"". A notAfter value that is less than notBefore is non-sensical given this definition."
ERROR,pkix.certificate_policies_anypolicy_has_prohibited_qualifier,"RFC 5280 4.2.1.4: ""When qualifiers are used with the special policy anyPolicy, they MUST be limited to the qualifiers identified in this section."""
